PackageID|NondrugItemID|ItemCount|PackageItemUnitID|
52935|133|6.0|3|
52935|136|1.0|3|
52936|134|6.0|3|
52936|135|1.0|3|
52937|134|6.0|3|
52937|135|1.0|3|
52956|147|3.0|3|
52957|148|10.0|3|
52961|145|1.0|3|
52961|146|1.0|3|
52973|161|1.0|3|
52973|162|1.0|3|
52973|163|1.0|3|
52976|164|1.0|3|
52976|165|1.0|3|
52976|166|1.0|3|
52977|158|1.0|3|
52977|159|1.0|3|
52977|160|1.0|3|
52979|390|1.0|3|
52992|156|1.0|3|
52992|157|1.0|3|
52994|167|1.0|3|
52994|168|1.0|3|
52994|169|1.0|3|
52996|170|1.0|3|
52996|171|1.0|3|
52996|172|1.0|3|
52997|173|1.0|3|
52997|174|1.0|3|
52997|175|1.0|3|
53022|179|1.0|3|
53022|180|1.0|3|
53022|181|1.0|3|
53023|182|1.0|3|
53023|183|1.0|3|
53023|184|1.0|3|
53028|188|1.0|3|
53028|189|1.0|3|
53028|190|1.0|3|
53032|191|1.0|3|
53032|192|1.0|3|
53032|193|1.0|3|
53034|194|1.0|3|
53034|195|1.0|3|
53034|196|1.0|3|
53034|198|1.0|3|
53034|204|1.0|3|
53038|199|1.0|3|
53038|200|1.0|3|
53038|201|1.0|3|
53038|202|1.0|3|
53038|203|1.0|3|
53039|205|1.0|3|
53039|206|1.0|3|
53039|207|1.0|3|
53039|208|1.0|3|
53039|209|1.0|3|
53041|210|1.0|3|
53041|211|1.0|3|
53041|212|1.0|3|
53041|213|1.0|3|
53041|214|1.0|3|
53054|215|1.0|3|
53054|216|1.0|3|
53054|217|2.0|3|
53054|218|1.0|3|
53055|219|1.0|3|
53055|220|1.0|3|
53055|221|1.0|3|
53055|222|2.0|3|
53056|223|1.0|3|
53056|224|1.0|3|
53056|225|1.0|3|
53056|226|2.0|3|
53062|227|1.0|3|
53062|228|2.0|3|
53062|230|1.0|3|
53067|231|1.0|3|
53067|232|1.0|3|
53067|233|2.0|3|
53068|236|1.0|3|
53068|237|1.0|3|
53068|238|2.0|3|
53069|240|1.0|3|
53069|241|1.0|3|
53069|242|2.0|3|
53083|243|1.0|3|
53083|244|1.0|3|
53083|245|1.0|3|
53083|246|1.0|3|
53086|247|1.0|3|
53086|248|1.0|3|
53086|249|1.0|3|
53086|250|1.0|3|
53087|251|1.0|3|
53087|252|1.0|3|
53087|253|1.0|3|
53088|254|1.0|3|
53088|255|1.0|3|
53088|256|1.0|3|
53089|257|1.0|3|
53089|258|1.0|3|
53089|259|1.0|3|
53091|260|1.0|3|
53091|261|1.0|3|
53093|262|1.0|3|
53093|263|1.0|3|
53095|264|1.0|3|
53095|265|1.0|3|
53099|268|1.0|3|
53099|269|1.0|3|
53100|272|1.0|3|
53100|273|1.0|3|
53112|682|1.0|3|
53113|682|1.0|3|
53114|680|1.0|3|
53115|680|1.0|3|
53116|681|1.0|3|
53117|681|1.0|3|
53158|274|1.0|3|
53249|279|1.0|3|
53263|360|1.0|3|
53282|692|1.0|3|
53283|693|1.0|3|
53284|694|1.0|3|
53286|695|1.0|3|
53287|695|1.0|3|
53306|285|7.0|3|
53325|286|1.0|3|
53328|290|1.0|3|
53329|291|1.0|3|
53403|297|1.0|3|
53652|351|5.0|3|
53663|704|1.0|3|
53664|704|1.0|3|
53666|358|7.0|3|
53703|364|1.0|3|
53708|366|5.0|3|
53747|384|14.0|3|
53751|387|1.0|3|
53791|392|1.0|3|
53791|393|1.0|3|
53792|392|10.0|3|
53792|393|10.0|3|
53875|410|1.0|3|
53876|410|1.0|3|
53913|442|1.0|3|
53914|423|1.0|3|
53914|424|1.0|3|
53914|425|1.0|3|
53914|426|1.0|3|
54022|444|1.0|3|
54023|451|20.0|3|
54119|468|2.0|3|
54119|469|4.0|3|
54119|470|1.0|3|
54120|468|6.0|3|
54120|469|12.0|3|
54120|470|1.0|3|
54132|475|1.0|3|
54132|476|1.0|3|
54133|481|1.0|3|
54133|482|1.0|3|
54140|492|1.0|3|
54140|493|1.0|3|
54227|521|1.0|3|
54227|522|2.0|3|
54228|526|1.0|3|
54228|527|1.0|3|
54228|528|2.0|3|
54306|537|1.0|3|
54306|538|1.0|3|
54307|539|1.0|3|
54307|540|1.0|3|
54309|541|1.0|3|
54309|542|1.0|3|
54310|543|1.0|3|
54310|544|1.0|3|
54311|545|1.0|3|
54311|546|1.0|3|
54347|590|1.0|3|
54349|586|1.0|3|
54352|575|1.0|3|
54360|577|1.0|3|
54362|578|1.0|3|
54382|587|1.0|3|
54383|587|1.0|3|
54385|589|1.0|3|
54386|589|1.0|3|
54424|585|1.0|3|
54425|585|1.0|3|
54426|585|1.0|3|
54481|604|1.0|3|
54505|641|2.0|3|
54505|642|1.0|3|
54505|643|1.0|3|
54505|644|1.0|3|
54505|645|1.0|3|
54505|646|1.0|3|
54517|729|1.0|3|
54517|730|1.0|3|
54517|731|1.0|3|
54517|732|1.0|3|
54517|733|1.0|3|
54517|734|1.0|3|
54670|656|3.0|3|
54795|715|1.0|3|
54795|716|1.0|3|
54813|717|1.0|3|
54813|718|1.0|3|
54823|719|1.0|3|
54823|720|1.0|3|
54830|723|1.0|3|
54830|724|1.0|3|
55155|747|1.0|3|
55235|749|1.0|3|
38186|655|3.0|3|
47741|529|3.0|3|
47741|530|1.0|3|
47741|531|1.0|3|
55593|766|1.0|3|
